"productkey","storekey","risk_profile","months_count","avg_bias_pct","median_bias_pct","overforecast_rate","underforecast_rate"
1,240,systematic_underforecast,3,0.38888888888888888889,0.5,0.33333333333333333333,0.66666666666666666667
1,380,systematic_overforecast,1,-0.83333333333333333333,-0.8333333333333334,1.00000000000000000000,0.00000000000000000000
1,470,systematic_overforecast,1,-0.66666666666666666667,-0.6666666666666666,1.00000000000000000000,0.00000000000000000000
1,540,mixed_or_stable,2,1.06250000000000000000,1.0625,0.50000000000000000000,0.50000000000000000000
1,650,systematic_underforecast,1,0.28571428571428571429,0.2857142857142857,0.00000000000000000000,1.00000000000000000000
1,999999,mixed_or_stable,15,1.20349206349206349428,0.0,0.40000000000000000000,0.46666666666666666667
2,35,systematic_underforecast,1,4.0000000000000000,4.0,0.00000000000000000000,1.00000000000000000000
2,100,systematic_underforecast,1,2.0000000000000000,2.0,0.00000000000000000000,1.00000000000000000000
2,420,mixed_or_stable,2,-0.45000000000000000000,-0.45,0.50000000000000000000,0.00000000000000000000
2,440,systematic_underforecast,1,3.0000000000000000,3.0,0.00000000000000000000,1.00000000000000000000
2,450,mixed_or_stable,2,0.66666666666666666667,0.6666666666666666,0.50000000000000000000,0.50000000000000000000
2,510,systematic_underforecast,1,0.33333333333333333333,0.3333333333333333,0.00000000000000000000,1.00000000000000000000
2,590,mixed_or_stable,3,0.75000000000000000000,0.0,0.33333333333333333333,0.33333333333333333333
2,605,systematic_overforecast,1,-0.33333333333333333333,-0.3333333333333333,1.00000000000000000000,0.00000000000000000000
2,999999,mixed_or_stable,15,0.96071428571428571429,0.4,0.40000000000000000000,0.53333333333333333333
3,35,systematic_underforecast,1,0.50000000000000000000,0.5,0.00000000000000000000,1.00000000000000000000
3,50,systematic_overforecast,1,-0.66666666666666666667,-0.6666666666666666,1.00000000000000000000,0.00000000000000000000
3,100,systematic_underforecast,1,0.60000000000000000000,0.6,0.00000000000000000000,1.00000000000000000000
3,340,mixed_or_stable,1,0.00000000000000000000,0.0,0.00000000000000000000,0.00000000000000000000
3,380,mixed_or_stable,2,0.25000000000000000000,0.25,0.50000000000000000000,0.50000000000000000000
3,450,systematic_underforecast,1,2.0000000000000000,2.0,0.00000000000000000000,1.00000000000000000000
3,490,mixed_or_stable,1,0.00000000000000000000,0.0,0.00000000000000000000,0.00000000000000000000
3,650,mixed_or_stable,1,0.00000000000000000000,0.0,0.00000000000000000000,0.00000000000000000000
3,999999,mixed_or_stable,21,1.04402872260015117158,0.0,0.42857142857142857143,0.42857142857142857143
4,230,systematic_underforecast,1,5.0000000000000000,5.0,0.00000000000000000000,1.00000000000000000000
4,240,systematic_underforecast,1,3.0000000000000000,3.0,0.00000000000000000000,1.00000000000000000000
